product_name,product_link_name,link,major_category_name,major_category_link
AREA RUGS & FLOORING,AREA RUGS & FLOORING,https://www.canadiantire.ca/en/household-pets/home-decor/area-rugs-flooring.html?adlocation=LIT_Category_Product_AreaRugsAndFlooringCat_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
ARTIFICIAL FLOWERS & PLANTS,ARTIFICIAL FLOWERS & PLANTS,https://www.canadiantire.ca/en/household-pets/home-decor/artificial-flowers-plants.html?adlocation=LIT_Category_Product_ArtificialFlowersAndPlantsCat_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
CANDLES,CANDLES,https://www.canadiantire.ca/en/household-pets/home-decor/candles.html?adlocation=LIT_Category_Product_CandlesCat_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
DECORATIVE PILLOWS,DECORATIVE PILLOWS,https://www.canadiantire.ca/en/household-pets/home-decor/decorative-pillows-throws/decorative-pillows.html?adlocation=LIT_Category_Product_DecorativePillowsCat_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
WALL CLOCKS,WALL CLOCKS,https://www.canadiantire.ca/en/household-pets/home-decor/wall-clocks.html?adlocation=LIT_Category_Product_WallClocksCat_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
WALL MIRRORS,WALL MIRRORS,https://www.canadiantire.ca/en/household-pets/home-decor/wall-mirrors.html?adlocation=LIT_Category_Product_WallMirrorsCat_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
PENDANT LIGHTS,PENDANT LIGHTS,https://www.canadiantire.ca/en/lighting/pendant-lights.html?adlocation=LIT_Lighting_PendantLights_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
FLUSH & SEMI-FLUSH MOUNT LIGHTS,FLUSH & SEMI-FLUSH MOUNT LIGHTS,https://www.canadiantire.ca/en/lighting/flush-semi-flush-mount-lights.html?adlocation=LIT_Lighting_FlushSemiFlushMountLights_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
CEILING FANS & ACCESSORIES,CEILING FANS & ACCESSORIES,https://www.canadiantire.ca/en/lighting/ceiling-fans-accessories.html?adlocation=LIT_Lighting_CeilingFansAccessories_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
FLOOR LAMPS,FLOOR LAMPS,https://www.canadiantire.ca/en/lighting/floor-lamps.html?adlocation=LIT_Lighting_FloorLamps_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
TABLE LAMPS,TABLE LAMPS,https://www.canadiantire.ca/en/lighting/table-lamps.html?adlocation=LIT_Lighting_TableLamps_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
DESK LAMPS & CLIP-ON LIGHTS,DESK LAMPS & CLIP-ON LIGHTS,https://www.canadiantire.ca/en/lighting/desk-lamps.html?adlocation=LIT_Lighting_DeskLamps_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
