,product_name,Category,link,major_category_name,major_category_link,Array_Position,Section
0,"ATV, MOTORCYCLES, SNOWMOBILE PARTS & ACCESSORIES",TRAILERS & TOWING ACCESSORIES,https://www.canadiantire.ca/en/automotive/trailers-towing-accessories.html?,"ATV, MOTORCYCLES, SNOWMOBILE PARTS & ACCESSORIES",https://www.canadiantire.ca/en/automotive/atvs-motorcycles-snowmobiles-parts-accessories.html,,
1,"ATV, MOTORCYCLES, SNOWMOBILE PARTS & ACCESSORIES",ATV & UTV PARTS & ACCESSORIES,https://www.canadiantire.ca/en/automotive/atvs-motorcycles-snowmobiles-parts-accessories/atv-utv-parts-accessories.html?,"ATV, MOTORCYCLES, SNOWMOBILE PARTS & ACCESSORIES",https://www.canadiantire.ca/en/automotive/atvs-motorcycles-snowmobiles-parts-accessories.html,,
2,"ATV, MOTORCYCLES, SNOWMOBILE PARTS & ACCESSORIES",SNOWMOBILE PARTS & ACCESSORIES,https://www.canadiantire.ca/en/automotive/atvs-motorcycles-snowmobiles-parts-accessories/snowmobile-parts-accessories.html?,"ATV, MOTORCYCLES, SNOWMOBILE PARTS & ACCESSORIES",https://www.canadiantire.ca/en/automotive/atvs-motorcycles-snowmobiles-parts-accessories.html,,
3,"ATV, MOTORCYCLES, SNOWMOBILE PARTS & ACCESSORIES",MOTORCYCLE PARTS & ACCESSORIES,https://www.canadiantire.ca/en/automotive/atvs-motorcycles-snowmobiles-parts-accessories/motorcycle-parts-accessories.html?,"ATV, MOTORCYCLES, SNOWMOBILE PARTS & ACCESSORIES",https://www.canadiantire.ca/en/automotive/atvs-motorcycles-snowmobiles-parts-accessories.html,,
4,"ATV, MOTORCYCLES, SNOWMOBILE PARTS & ACCESSORIES",ELECTRIC WINCHES & ACCESSORIES,https://www.canadiantire.ca/en/automotive/exterior-car-accessories/electric-winches-accessories.html?,"ATV, MOTORCYCLES, SNOWMOBILE PARTS & ACCESSORIES",https://www.canadiantire.ca/en/automotive/atvs-motorcycles-snowmobiles-parts-accessories.html,,
5,"ATV, MOTORCYCLES, SNOWMOBILE PARTS & ACCESSORIES",LOADING RAMPS,https://www.canadiantire.ca/en/automotive/exterior-car-accessories/travel-cargo-management/loading-ramps.html?,"ATV, MOTORCYCLES, SNOWMOBILE PARTS & ACCESSORIES",https://www.canadiantire.ca/en/automotive/atvs-motorcycles-snowmobiles-parts-accessories.html,,
6,"ATV, MOTORCYCLES, SNOWMOBILE PARTS & ACCESSORIES",POWERSPORTS GREASE,https://www.canadiantire.ca/en/automotive/oils-fluids-additives-chemicals/grease-gear-oils-lubricants/powersports-grease.html?,"ATV, MOTORCYCLES, SNOWMOBILE PARTS & ACCESSORIES",https://www.canadiantire.ca/en/automotive/atvs-motorcycles-snowmobiles-parts-accessories.html,,
7,AUTO ELECTRONICS & CELLPHONE ACCESSORIES,CELL PHONE & BLUETOOTH ACCESSORIES,https://www.canadiantire.ca/en/household-pets/home-electronics/cell-phone-bluetooth-accessories.html?,AUTO ELECTRONICS & CELLPHONE ACCESSORIES,https://www.canadiantire.ca/en/automotive/car-electronics.html,,
8,AUTO ELECTRONICS & CELLPHONE ACCESSORIES,CAR AUDIO,https://www.canadiantire.ca/en/automotive/car-electronics/car-audio.html?,AUTO ELECTRONICS & CELLPHONE ACCESSORIES,https://www.canadiantire.ca/en/automotive/car-electronics.html,,
9,AUTO ELECTRONICS & CELLPHONE ACCESSORIES,12V CAR CHARGERS & PLUG-IN ACCESSORIES,https://www.canadiantire.ca/en/automotive/car-electronics/12v-car-chargers-plug-in-accessories.html?,AUTO ELECTRONICS & CELLPHONE ACCESSORIES,https://www.canadiantire.ca/en/automotive/car-electronics.html,,
10,AUTO ELECTRONICS & CELLPHONE ACCESSORIES,"TABLETS, PORTABLE DVD PLAYERS & SPEAKERS",https://www.canadiantire.ca/en/household-pets/home-electronics/portable-players-accessories.html?,AUTO ELECTRONICS & CELLPHONE ACCESSORIES,https://www.canadiantire.ca/en/automotive/car-electronics.html,,
11,AUTO ELECTRONICS & CELLPHONE ACCESSORIES,"CAR GPS, MOUNTS & ACCESSORIES",https://www.canadiantire.ca/en/automotive/car-electronics/portable-car-gps-mounts.html?,AUTO ELECTRONICS & CELLPHONE ACCESSORIES,https://www.canadiantire.ca/en/automotive/car-electronics.html,,
12,AUTO ELECTRONICS & CELLPHONE ACCESSORIES,BACKUP CAMERAS,https://www.canadiantire.ca/en/automotive/car-electronics/back-up-safety-cameras.html?,AUTO ELECTRONICS & CELLPHONE ACCESSORIES,https://www.canadiantire.ca/en/automotive/car-electronics.html,,
13,AUTO ELECTRONICS & CELLPHONE ACCESSORIES,DASH CAMS,https://www.canadiantire.ca/en/automotive/car-electronics/dashboard-cameras.html?,AUTO ELECTRONICS & CELLPHONE ACCESSORIES,https://www.canadiantire.ca/en/automotive/car-electronics.html,,
14,AUTO ELECTRONICS & CELLPHONE ACCESSORIES,REMOTE CAR STARTERS & ACCESSORIES,https://www.canadiantire.ca/en/automotive/car-electronics/remote-car-starters-accessories.html?,AUTO ELECTRONICS & CELLPHONE ACCESSORIES,https://www.canadiantire.ca/en/automotive/car-electronics.html,,
15,AUTO ELECTRONICS & CELLPHONE ACCESSORIES,CELL PHONE SIGNAL BOOSTERS,https://www.canadiantire.ca/en/household-pets/home-electronics/signal-boosters.html?,AUTO ELECTRONICS & CELLPHONE ACCESSORIES,https://www.canadiantire.ca/en/automotive/car-electronics.html,,
16,AUTO ELECTRONICS & CELLPHONE ACCESSORIES,KEY FOBS,https://www.canadiantire.ca/en/automotive/car-electronics/key-fobs.html?,AUTO ELECTRONICS & CELLPHONE ACCESSORIES,https://www.canadiantire.ca/en/automotive/car-electronics.html,,
17,CARPORTS & PORTABLE SHELTERS,CARPORTS & SHELTERS,https://www.canadiantire.ca/en/automotive/portable-car-shelters-accessories/portable-car-shelters.html?,CARPORTS & PORTABLE SHELTERS,https://www.canadiantire.ca/en/automotive/portable-car-shelters-accessories.html,,
18,CARPORTS & PORTABLE SHELTERS,PORTABLE STORAGE SHEDS,https://www.canadiantire.ca/en/automotive/portable-car-shelters-accessories/portable-storage-sheds.html?,CARPORTS & PORTABLE SHELTERS,https://www.canadiantire.ca/en/automotive/portable-car-shelters-accessories.html,,
19,CARPORTS & PORTABLE SHELTERS,CARPORT REPLACEMENT COVERS & ACCESSORIES,https://www.canadiantire.ca/en/automotive/portable-car-shelters-accessories/portable-car-shelter-accessories.html?,CARPORTS & PORTABLE SHELTERS,https://www.canadiantire.ca/en/automotive/portable-car-shelters-accessories.html,,
20,CARPORTS & PORTABLE SHELTERS,CAR COVERS,https://www.canadiantire.ca/en/automotive/exterior-car-accessories/exterior-car-protectors-covers/car-covers.html?,CARPORTS & PORTABLE SHELTERS,https://www.canadiantire.ca/en/automotive/portable-car-shelters-accessories.html,,
21,CAR SAFETY & SECURITY,CAR SEATS & ACCESSORIES,https://www.canadiantire.ca/en/household-pets/baby/car-seats-accessories.html?,CAR SAFETY & SECURITY,https://www.canadiantire.ca/en/automotive/car-safety-security.html,,
22,CAR SAFETY & SECURITY,FLOOR & CAR JACKS,https://www.canadiantire.ca/en/automotive/garage-tools-equipment-storage/jacks/floor-car-jacks.html?,CAR SAFETY & SECURITY,https://www.canadiantire.ca/en/automotive/car-safety-security.html,,
23,CAR SAFETY & SECURITY,"TIRE PRESSURE GAUGES, INFLATORS & COMPRESSORS",https://www.canadiantire.ca/en/automotive/tires-wheels/tire-wheel-accessories/tire-pressure-gauges-inflators-compressors.html?,CAR SAFETY & SECURITY,https://www.canadiantire.ca/en/automotive/car-safety-security.html,,
24,CAR SAFETY & SECURITY,PET CAR SAFETY,https://www.canadiantire.ca/en/automotive/car-safety-security/pet-car-safety.html?,CAR SAFETY & SECURITY,https://www.canadiantire.ca/en/automotive/car-safety-security.html,,
25,CAR SAFETY & SECURITY,WINDSHIELD WASHER FLUIDS,https://www.canadiantire.ca/en/automotive/oils-fluids-additives-chemicals/windshield-washer-fluids-additives.html?,CAR SAFETY & SECURITY,https://www.canadiantire.ca/en/automotive/car-safety-security.html,,
26,CAR SAFETY & SECURITY,SAFETY KITS & ACCESSORIES,https://www.canadiantire.ca/en/automotive/car-safety-security/safety-kits-accessories.html?,CAR SAFETY & SECURITY,https://www.canadiantire.ca/en/automotive/car-safety-security.html,,
27,CAR SAFETY & SECURITY,BLIND SPOT MIRRORS,https://www.canadiantire.ca/en/automotive/car-safety-security/blind-spot-mirrors.html?,CAR SAFETY & SECURITY,https://www.canadiantire.ca/en/automotive/car-safety-security.html,,
28,CAR SAFETY & SECURITY,BOOSTER CABLES,https://www.canadiantire.ca/en/automotive/batteries-maintenance-accessories/booster-cables.html?,CAR SAFETY & SECURITY,https://www.canadiantire.ca/en/automotive/car-safety-security.html,,
29,CAR SAFETY & SECURITY,CAR SECURITY LOCKS,https://www.canadiantire.ca/en/automotive/car-safety-security/car-security-locks.html?,CAR SAFETY & SECURITY,https://www.canadiantire.ca/en/automotive/car-safety-security.html,,
30,CAR SAFETY & SECURITY,BLOCK HEATER EXTENSION CORDS,https://www.canadiantire.ca/en/automotive/car-safety-security/block-heater-extension-cords.html?,CAR SAFETY & SECURITY,https://www.canadiantire.ca/en/automotive/car-safety-security.html,,
31,CAR SAFETY & SECURITY,HORNS,https://www.canadiantire.ca/en/automotive/car-safety-security/horns.html?,CAR SAFETY & SECURITY,https://www.canadiantire.ca/en/automotive/car-safety-security.html,,
32,CAR SAFETY & SECURITY,DRIVEWAY MARKERS,https://www.canadiantire.ca/en/automotive/car-safety-security/driveway-markers.html?,CAR SAFETY & SECURITY,https://www.canadiantire.ca/en/automotive/car-safety-security.html,,
33,CAR SAFETY & SECURITY,SNOW BRUSHES & SCRAPERS,https://www.canadiantire.ca/en/outdoor-living/snow-removal/snow-brushes-scrapers.html?,CAR SAFETY & SECURITY,https://www.canadiantire.ca/en/automotive/car-safety-security.html,,
34,CAR SAFETY & SECURITY,TRACTION AIDS,https://www.canadiantire.ca/en/automotive/tires-wheels/tire-wheel-accessories/traction-aids.html?,CAR SAFETY & SECURITY,https://www.canadiantire.ca/en/automotive/car-safety-security.html,,
35,CAR SAFETY & SECURITY,TIRE CHAINS,https://www.canadiantire.ca/en/automotive/tires-wheels/tire-wheel-accessories/tire-chains.html?,CAR SAFETY & SECURITY,https://www.canadiantire.ca/en/automotive/car-safety-security.html,,
36,CAR SAFETY & SECURITY,CAR WARMERS,https://www.canadiantire.ca/en/automotive/car-safety-security/car-warmers.html?,CAR SAFETY & SECURITY,https://www.canadiantire.ca/en/automotive/car-safety-security.html,,
37,INTERIOR_ACC,SEAT COVERS,https://www.canadiantire.ca/en/automotive/interior-car-accessories/seat-covers.html?,INTERIOR ACCESSORIES,https://www.canadiantire.ca/en/automotive/interior-car-accessories.html,,
38,INTERIOR_ACC,CAR SAFETY AND SECURITY,https://www.canadiantire.ca/en/automotive/car-safety-security.html?,INTERIOR ACCESSORIES,https://www.canadiantire.ca/en/automotive/interior-car-accessories.html,,
39,INTERIOR_ACC,FLOOR MATS AND LINERS,https://www.canadiantire.ca/en/automotive/interior-car-accessories/car-mats.html?,INTERIOR ACCESSORIES,https://www.canadiantire.ca/en/automotive/interior-car-accessories.html,,
40,INTERIOR_ACC,INTERIOR CAR ORGANIZERS,https://www.canadiantire.ca/en/automotive/interior-car-accessories/interior-car-organizers.html?,INTERIOR ACCESSORIES,https://www.canadiantire.ca/en/automotive/interior-car-accessories.html,,
41,INTERIOR_ACC,SMALL ACCESSORIES,https://www.canadiantire.ca/en/automotive/interior-car-accessories/small-accessories.html?,INTERIOR ACCESSORIES,https://www.canadiantire.ca/en/automotive/interior-car-accessories.html,,
